age;job;marital;education;default;housing;loan;poutcome
47;services;divorced;secondary;no;no;no;unknown
42;technician;single;secondary;no;yes;no;unknown
59;admin.;married;secondary;no;yes;no;unknown
46;self-employed;married;tertiary;no;yes;yes;unknown
51;blue-collar;married;primary;no;yes;no;unknown
56;admin.;married;secondary;no;no;no;unknown
41;technician;married;secondary;no;yes;no;unknown
46;management;divorced;secondary;no;yes;yes;unknown
57;retired;married;secondary;no;yes;no;unknown
42;management;single;secondary;no;no;no;unknown
30;technician;married;secondary;no;yes;yes;unknown
60;admin.;married;secondary;no;yes;no;unknown
60;blue-collar;married;unknown;no;yes;no;unknown
57;entrepreneur;divorced;secondary;no;no;no;unknown
36;management;married;tertiary;no;yes;yes;unknown
55;blue-collar;married;secondary;no;no;no;unknown
60;retired;married;tertiary;no;yes;no;unknown
39;technician;married;secondary;no;yes;no;unknown
46;management;married;tertiary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
53;blue-collar;married;primary;no;no;no;unknown
52;blue-collar;married;primary;no;yes;no;unknown
59;blue-collar;married;primary;no;yes;no;unknown
27;technician;single;tertiary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
47;technician;married;tertiary;no;yes;no;unknown
34;admin.;married;secondary;no;no;yes;unknown
59;retired;single;secondary;no;yes;no;unknown
45;management;married;tertiary;no;yes;no;unknown
29;services;divorced;secondary;no;yes;no;unknown
46;technician;divorced;secondary;no;no;no;unknown
56;self-employed;married;primary;no;yes;yes;unknown
36;blue-collar;married;primary;no;yes;no;unknown
59;retired;divorced;primary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
41;admin.;married;secondary;no;yes;no;unknown
33;management;single;tertiary;no;yes;no;unknown
59;management;divorced;tertiary;no;no;no;unknown
57;technician;married;primary;no;no;no;unknown
56;technician;divorced;unknown;no;yes;no;unknown
51;blue-collar;married;secondary;no;yes;no;unknown
34;admin.;married;unknown;no;yes;no;unknown
43;services;married;secondary;no;yes;yes;unknown
52;technician;married;tertiary;no;no;yes;unknown
33;technician;single;secondary;no;yes;no;unknown
29;admin.;single;secondary;no;yes;yes;unknown
34;services;married;secondary;no;yes;yes;unknown
31;blue-collar;married;secondary;no;yes;no;unknown
55;services;married;secondary;no;yes;no;unknown
55;management;married;unknown;no;no;no;unknown
32;admin.;single;secondary;no;yes;no;unknown
38;technician;single;secondary;no;yes;no;unknown
55;admin.;single;secondary;no;yes;yes;unknown
28;unemployed;single;tertiary;no;yes;no;unknown
23;blue-collar;married;secondary;no;yes;no;unknown
32;technician;single;secondary;no;yes;no;unknown
43;services;single;unknown;no;no;no;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
46;blue-collar;married;secondary;no;yes;no;unknown
53;housemaid;divorced;primary;no;yes;no;unknown
34;self-employed;single;secondary;no;yes;no;unknown
57;unemployed;married;tertiary;no;no;no;unknown
37;blue-collar;married;secondary;no;yes;no;unknown
59;blue-collar;married;secondary;no;yes;no;unknown
33;services;married;secondary;no;yes;no;unknown
56;blue-collar;divorced;primary;no;yes;no;unknown
48;unemployed;married;secondary;no;yes;no;unknown
43;services;married;primary;no;yes;no;unknown
54;blue-collar;married;primary;no;yes;no;unknown
51;blue-collar;married;unknown;no;yes;no;unknown
26;student;single;secondary;no;yes;no;unknown
40;management;married;tertiary;no;yes;no;unknown
39;management;married;secondary;no;yes;no;unknown
50;technician;married;primary;no;no;no;unknown
41;services;married;secondary;no;yes;no;unknown
51;blue-collar;married;unknown;no;yes;no;unknown
60;retired;divorced;secondary;no;yes;no;unknown
52;blue-collar;married;secondary;no;yes;no;unknown
48;blue-collar;married;secondary;no;yes;no;unknown
48;services;married;unknown;no;yes;no;unknown
39;technician;single;tertiary;no;yes;no;unknown
47;services;single;secondary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
45;technician;married;secondary;no;yes;no;unknown
26;admin.;single;secondary;no;yes;no;unknown
52;management;married;tertiary;no;yes;no;unknown
54;technician;married;secondary;no;yes;no;unknown
54;admin.;married;tertiary;no;no;no;unknown
50;blue-collar;married;primary;no;no;no;unknown
35;blue-collar;married;secondary;no;yes;no;unknown
44;services;married;secondary;no;yes;yes;unknown
53;entrepreneur;married;unknown;no;yes;no;unknown
35;retired;single;primary;no;no;no;unknown
60;admin.;divorced;secondary;no;yes;no;unknown
53;admin.;divorced;secondary;no;yes;no;unknown
48;unemployed;married;secondary;no;yes;no;unknown
34;technician;married;secondary;no;yes;no;unknown
54;services;married;secondary;no;yes;no;unknown
51;management;married;secondary;no;yes;no;unknown
31;services;married;tertiary;no;yes;no;unknown
35;technician;divorced;secondary;no;yes;no;unknown
35;services;married;secondary;no;yes;no;unknown
38;technician;married;secondary;no;yes;no;unknown
36;admin.;married;tertiary;no;yes;no;unknown
58;retired;married;primary;no;yes;no;unknown
40;services;divorced;unknown;no;yes;no;unknown
54;management;married;secondary;no;no;no;unknown
34;blue-collar;single;secondary;no;yes;yes;unknown
31;management;single;tertiary;no;yes;no;unknown
51;retired;married;secondary;no;yes;no;unknown
33;management;married;tertiary;no;yes;no;unknown
55;management;married;tertiary;no;yes;no;unknown
42;admin.;married;secondary;no;yes;no;unknown
34;blue-collar;married;secondary;no;yes;no;unknown
33;blue-collar;single;secondary;no;yes;no;unknown
38;services;married;secondary;no;yes;no;unknown
50;technician;divorced;tertiary;no;no;yes;unknown
43;management;married;tertiary;no;yes;no;unknown
61;blue-collar;divorced;primary;no;yes;no;unknown
47;admin.;married;secondary;no;yes;no;unknown
48;self-employed;married;tertiary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
35;student;single;unknown;no;yes;no;unknown
35;services;married;secondary;no;yes;no;unknown
50;services;married;secondary;no;yes;no;unknown
41;management;married;tertiary;no;yes;yes;unknown
41;management;married;tertiary;no;yes;no;unknown
39;services;single;unknown;no;yes;no;unknown
42;retired;married;secondary;no;yes;no;unknown
38;blue-collar;married;secondary;no;yes;no;unknown
53;retired;married;secondary;no;yes;no;unknown
59;housemaid;divorced;primary;no;no;no;unknown
36;services;married;secondary;no;yes;no;unknown
54;blue-collar;married;primary;no;yes;no;unknown
40;technician;married;tertiary;no;yes;no;unknown
47;unknown;married;unknown;no;no;no;unknown
53;unemployed;married;unknown;no;no;no;unknown
46;housemaid;married;primary;no;no;no;unknown
39;management;married;tertiary;no;yes;yes;unknown
40;unemployed;married;secondary;no;yes;no;unknown
28;blue-collar;married;primary;no;yes;no;unknown
35;entrepreneur;divorced;secondary;no;yes;no;unknown
55;retired;married;secondary;no;no;yes;unknown
43;technician;divorced;unknown;no;yes;no;unknown
48;blue-collar;married;primary;no;yes;no;unknown
58;management;married;unknown;no;yes;no;unknown
33;management;single;tertiary;no;yes;no;unknown
36;blue-collar;married;unknown;no;no;no;unknown
53;services;divorced;secondary;no;yes;no;unknown
47;blue-collar;married;primary;no;yes;no;unknown
31;services;married;secondary;no;yes;no;unknown
57;entrepreneur;married;secondary;no;yes;no;unknown
53;blue-collar;married;unknown;no;no;no;unknown
55;blue-collar;married;primary;no;yes;no;unknown
45;blue-collar;married;primary;no;yes;no;unknown
53;admin.;divorced;secondary;no;yes;no;unknown
37;blue-collar;married;primary;no;yes;no;unknown
44;admin.;divorced;secondary;no;yes;no;unknown
49;blue-collar;divorced;primary;no;yes;yes;unknown
46;technician;married;secondary;no;yes;yes;unknown
43;entrepreneur;married;unknown;no;yes;no;unknown
38;admin.;married;secondary;no;no;no;unknown
43;technician;married;secondary;no;yes;no;unknown
49;management;married;tertiary;no;yes;no;unknown
42;management;married;unknown;no;no;no;unknown
22;blue-collar;single;secondary;no;yes;no;unknown
40;management;married;tertiary;no;yes;no;unknown
39;blue-collar;married;secondary;no;yes;no;unknown
51;services;married;secondary;no;yes;no;unknown
49;admin.;married;secondary;no;yes;no;unknown
53;blue-collar;married;secondary;no;yes;yes;unknown
34;services;single;secondary;no;yes;no;unknown
33;technician;divorced;secondary;no;yes;no;unknown
50;management;single;tertiary;no;yes;no;unknown
39;blue-collar;married;primary;no;yes;no;unknown
59;entrepreneur;divorced;secondary;no;yes;no;unknown
30;technician;single;secondary;no;yes;no;unknown
36;services;married;secondary;no;yes;yes;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
53;blue-collar;married;secondary;no;yes;no;unknown
34;management;single;tertiary;no;yes;no;unknown
37;technician;married;secondary;no;yes;no;unknown
42;management;divorced;tertiary;no;yes;no;unknown
41;entrepreneur;married;primary;no;yes;no;unknown
30;student;single;tertiary;no;yes;no;unknown
37;management;single;tertiary;no;yes;no;unknown
39;admin.;divorced;secondary;no;yes;no;unknown
41;blue-collar;married;primary;no;yes;yes;unknown
40;blue-collar;married;primary;no;yes;no;unknown
42;management;single;tertiary;no;yes;yes;unknown
40;blue-collar;divorced;primary;no;yes;no;unknown
57;technician;married;secondary;no;yes;no;unknown
56;entrepreneur;divorced;secondary;no;no;no;unknown
37;admin.;married;secondary;no;yes;no;unknown
59;retired;married;secondary;no;yes;no;unknown
39;services;divorced;secondary;no;yes;no;unknown
49;services;married;secondary;no;no;no;unknown
38;services;single;secondary;no;yes;no;unknown
36;self-employed;married;tertiary;no;no;no;unknown
50;blue-collar;married;primary;no;yes;no;unknown
41;admin.;married;secondary;no;yes;yes;unknown
54;technician;married;tertiary;no;no;no;unknown
58;blue-collar;married;primary;no;yes;no;unknown
30;blue-collar;single;secondary;no;yes;no;unknown
33;admin.;single;secondary;no;yes;no;unknown
47;admin.;married;secondary;no;yes;no;unknown
50;technician;single;tertiary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
40;self-employed;married;secondary;no;yes;no;unknown
37;management;married;tertiary;no;yes;no;unknown
54;technician;single;unknown;no;yes;no;unknown
24;student;single;secondary;no;yes;no;unknown
54;management;married;tertiary;no;no;no;unknown
34;technician;married;secondary;no;yes;no;unknown
56;technician;divorced;primary;no;yes;no;unknown
31;blue-collar;single;secondary;no;yes;no;unknown
24;student;single;secondary;no;yes;no;unknown
42;blue-collar;divorced;primary;no;yes;no;unknown
57;technician;married;secondary;no;yes;no;unknown
42;blue-collar;married;unknown;no;yes;no;unknown
51;admin.;married;secondary;no;yes;no;unknown
57;retired;married;secondary;no;yes;no;unknown
36;services;single;secondary;no;yes;no;unknown
53;services;married;unknown;no;yes;no;unknown
50;technician;married;secondary;no;yes;no;unknown
54;management;married;tertiary;no;yes;no;unknown
55;blue-collar;married;secondary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;yes;unknown
43;management;married;unknown;no;yes;no;unknown
56;admin.;married;secondary;no;yes;no;unknown
54;technician;married;unknown;no;yes;no;unknown
55;services;divorced;primary;no;yes;yes;unknown
37;services;divorced;secondary;no;yes;yes;unknown
33;admin.;single;tertiary;no;no;no;unknown
46;admin.;married;secondary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;yes;unknown
51;technician;single;secondary;no;yes;no;unknown
40;retired;single;primary;no;no;no;unknown
42;blue-collar;married;secondary;no;yes;no;unknown
51;blue-collar;married;secondary;no;yes;no;unknown
49;blue-collar;married;unknown;no;yes;no;unknown
48;management;married;secondary;no;yes;no;unknown
32;technician;divorced;tertiary;no;no;no;unknown
31;admin.;single;secondary;no;yes;no;unknown
55;management;single;tertiary;no;no;no;unknown
40;blue-collar;single;secondary;no;yes;no;unknown
47;technician;married;tertiary;no;yes;no;unknown
57;technician;married;unknown;no;yes;no;unknown
41;blue-collar;married;secondary;no;yes;no;unknown
48;blue-collar;married;secondary;no;no;no;unknown
42;blue-collar;married;unknown;no;yes;no;unknown
30;blue-collar;single;secondary;no;yes;no;unknown
58;management;single;tertiary;no;yes;no;unknown
45;management;divorced;tertiary;no;yes;no;unknown
49;blue-collar;married;secondary;no;yes;no;unknown
42;admin.;single;secondary;no;yes;no;unknown
53;technician;married;secondary;no;yes;yes;unknown
51;admin.;single;secondary;yes;no;no;unknown
32;services;single;secondary;no;yes;no;unknown
41;blue-collar;single;secondary;no;yes;no;unknown
43;management;divorced;secondary;no;yes;no;unknown
40;blue-collar;divorced;secondary;no;yes;no;unknown
50;blue-collar;married;primary;no;yes;no;unknown
34;management;married;tertiary;no;yes;no;unknown
53;services;married;unknown;no;no;no;unknown
45;technician;married;secondary;no;yes;no;unknown
39;blue-collar;married;primary;no;yes;no;unknown
44;services;married;tertiary;no;yes;no;unknown
55;management;married;tertiary;no;yes;no;unknown
46;management;single;tertiary;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;no;unknown
34;admin.;married;secondary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
59;unknown;divorced;unknown;no;no;no;unknown
31;admin.;single;secondary;no;yes;no;unknown
44;blue-collar;single;secondary;no;yes;no;unknown
33;entrepreneur;single;tertiary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
46;admin.;single;tertiary;no;yes;no;unknown
48;management;married;tertiary;no;yes;no;unknown
42;services;married;secondary;no;yes;no;unknown
27;services;married;secondary;no;yes;no;unknown
48;admin.;married;secondary;no;yes;yes;unknown
59;admin.;married;secondary;no;yes;no;unknown
46;technician;married;tertiary;no;yes;no;unknown
38;admin.;divorced;secondary;no;yes;no;unknown
43;management;divorced;tertiary;no;yes;no;unknown
38;admin.;divorced;tertiary;no;yes;no;unknown
23;student;single;secondary;no;yes;no;unknown
34;services;married;secondary;no;yes;no;unknown
38;admin.;married;secondary;no;yes;yes;unknown
37;blue-collar;married;secondary;no;no;no;unknown
25;admin.;single;secondary;no;yes;no;unknown
48;blue-collar;married;unknown;no;yes;no;unknown
49;blue-collar;single;secondary;no;yes;no;unknown
38;admin.;single;secondary;no;no;no;unknown
43;blue-collar;married;primary;no;yes;no;unknown
33;management;married;tertiary;no;yes;no;unknown
55;blue-collar;married;secondary;no;yes;no;unknown
38;blue-collar;married;secondary;no;yes;no;unknown
49;services;married;secondary;no;yes;yes;unknown
40;management;married;secondary;no;no;no;unknown
43;admin.;married;unknown;no;no;no;unknown
38;blue-collar;married;secondary;no;yes;no;unknown
58;services;married;secondary;no;yes;yes;unknown
57;technician;married;unknown;no;yes;no;unknown
32;unemployed;married;secondary;no;yes;no;unknown
56;management;married;tertiary;no;yes;yes;unknown
58;blue-collar;divorced;unknown;no;yes;no;unknown
60;retired;divorced;secondary;no;yes;no;unknown
37;technician;married;tertiary;no;yes;no;unknown
46;technician;divorced;tertiary;no;yes;no;unknown
27;admin.;married;secondary;no;yes;no;unknown
43;blue-collar;married;secondary;no;yes;no;unknown
32;technician;single;secondary;no;yes;yes;unknown
40;admin.;single;secondary;no;yes;no;unknown
38;admin.;married;secondary;no;no;no;unknown
34;blue-collar;married;secondary;no;no;yes;unknown
47;blue-collar;married;primary;no;yes;no;unknown
42;housemaid;married;primary;no;yes;no;unknown
48;technician;married;secondary;no;yes;yes;unknown
29;self-employed;single;tertiary;no;yes;no;unknown
50;services;married;secondary;no;yes;no;unknown
52;technician;married;unknown;no;no;no;unknown
50;management;married;tertiary;no;no;no;unknown
58;retired;married;tertiary;no;no;no;unknown
46;blue-collar;divorced;primary;no;yes;no;unknown
38;technician;married;secondary;no;yes;no;unknown
46;blue-collar;married;secondary;no;yes;no;unknown
32;services;single;secondary;no;yes;no;unknown
51;blue-collar;married;primary;no;yes;no;unknown
39;admin.;single;secondary;no;yes;no;unknown
48;admin.;married;secondary;no;yes;no;unknown
36;entrepreneur;married;tertiary;no;yes;no;unknown
34;admin.;divorced;secondary;no;yes;no;unknown
40;technician;married;secondary;no;no;no;unknown
43;unemployed;married;secondary;no;yes;no;unknown
52;blue-collar;divorced;primary;no;yes;yes;unknown
33;technician;married;secondary;yes;yes;no;unknown
49;management;single;tertiary;no;yes;no;unknown
32;management;single;tertiary;no;yes;no;unknown
39;admin.;single;secondary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
38;technician;single;tertiary;no;yes;no;unknown
43;management;married;secondary;no;yes;no;unknown
39;services;married;secondary;no;yes;no;unknown
54;blue-collar;married;primary;no;yes;no;unknown
38;technician;single;tertiary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
55;admin.;married;secondary;no;yes;no;unknown
42;management;married;tertiary;no;yes;no;unknown
39;blue-collar;married;secondary;no;yes;no;unknown
40;blue-collar;married;primary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
55;admin.;married;secondary;no;yes;no;unknown
45;blue-collar;married;secondary;no;no;no;unknown
35;management;single;tertiary;no;yes;no;unknown
58;technician;divorced;secondary;no;no;no;unknown
35;admin.;married;secondary;no;yes;no;unknown
49;services;married;primary;no;yes;no;unknown
34;technician;single;tertiary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
24;self-employed;single;secondary;no;yes;no;unknown
34;technician;married;secondary;no;yes;no;unknown
51;admin.;divorced;secondary;no;yes;no;unknown
39;technician;single;unknown;no;yes;no;unknown
50;self-employed;married;unknown;no;yes;no;unknown
32;services;single;secondary;no;yes;no;unknown
42;blue-collar;married;unknown;no;yes;no;unknown
50;technician;married;secondary;no;yes;no;unknown
40;services;married;secondary;no;no;no;unknown
46;management;divorced;unknown;no;yes;no;unknown
37;management;married;tertiary;no;yes;yes;unknown
34;blue-collar;married;secondary;no;yes;yes;unknown
44;blue-collar;married;secondary;no;yes;yes;unknown
40;admin.;single;secondary;no;yes;yes;unknown
37;technician;married;secondary;no;yes;no;unknown
33;blue-collar;single;secondary;yes;no;no;unknown
35;blue-collar;married;secondary;no;yes;no;unknown
58;blue-collar;divorced;secondary;no;no;no;unknown
39;blue-collar;married;primary;no;yes;no;unknown
43;blue-collar;married;secondary;no;yes;no;unknown
39;unemployed;married;primary;no;yes;no;unknown
36;services;single;primary;no;yes;no;unknown
57;retired;single;secondary;no;no;yes;unknown
36;admin.;single;secondary;no;yes;no;unknown
50;blue-collar;married;primary;no;yes;no;unknown
55;blue-collar;married;secondary;no;yes;no;unknown
44;self-employed;married;tertiary;no;yes;no;unknown
44;services;divorced;secondary;no;yes;no;unknown
39;housemaid;single;primary;no;yes;no;unknown
46;blue-collar;married;unknown;no;yes;no;unknown
39;blue-collar;married;secondary;no;yes;no;unknown
34;admin.;married;secondary;no;no;no;unknown
40;blue-collar;married;primary;no;yes;no;unknown
50;management;married;tertiary;no;yes;no;unknown
31;management;single;secondary;no;yes;no;unknown
37;admin.;single;secondary;no;yes;no;unknown
39;management;single;secondary;no;yes;no;unknown
51;blue-collar;married;primary;no;yes;no;unknown
41;technician;married;secondary;no;yes;no;unknown
41;technician;married;secondary;no;yes;yes;unknown
43;blue-collar;married;secondary;no;no;no;unknown
30;services;single;secondary;no;yes;no;unknown
54;management;divorced;primary;no;no;no;unknown
43;blue-collar;divorced;secondary;no;yes;yes;unknown
59;management;divorced;tertiary;no;yes;yes;unknown
47;technician;married;unknown;no;yes;no;unknown
40;blue-collar;married;primary;no;yes;no;unknown
32;technician;married;secondary;no;yes;no;unknown
29;blue-collar;married;secondary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
55;unemployed;married;tertiary;no;no;no;unknown
30;blue-collar;divorced;secondary;no;yes;no;unknown
39;admin.;single;secondary;no;yes;no;unknown
39;blue-collar;divorced;secondary;no;yes;no;unknown
50;blue-collar;divorced;secondary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
37;technician;single;secondary;no;yes;no;unknown
46;admin.;married;primary;no;yes;yes;unknown
32;technician;single;unknown;no;no;no;unknown
37;management;single;tertiary;no;yes;yes;unknown
29;blue-collar;married;secondary;no;yes;no;unknown
41;blue-collar;married;secondary;no;yes;no;unknown
45;blue-collar;married;primary;no;yes;no;unknown
57;retired;divorced;secondary;no;yes;no;unknown
48;blue-collar;single;secondary;no;yes;no;unknown
60;retired;married;secondary;yes;no;no;unknown
26;admin.;single;secondary;no;yes;no;unknown
58;retired;married;secondary;no;yes;no;unknown
34;admin.;married;secondary;no;yes;no;unknown
55;unemployed;divorced;secondary;no;yes;no;unknown
41;blue-collar;married;primary;no;yes;yes;unknown
50;management;divorced;secondary;no;yes;no;unknown
49;entrepreneur;married;secondary;no;yes;yes;unknown
44;admin.;married;unknown;no;no;yes;unknown
44;blue-collar;married;primary;no;yes;no;unknown
31;technician;married;secondary;no;yes;yes;unknown
34;blue-collar;single;tertiary;no;yes;no;unknown
46;management;single;unknown;no;yes;no;unknown
42;management;married;tertiary;no;no;no;unknown
52;admin.;married;secondary;no;yes;no;unknown
29;management;single;tertiary;no;yes;no;unknown
53;retired;married;primary;no;yes;no;unknown
43;blue-collar;married;secondary;no;yes;no;unknown
38;management;married;secondary;no;yes;no;unknown
46;management;married;tertiary;no;yes;no;unknown
48;management;divorced;unknown;no;yes;no;unknown
30;admin.;divorced;secondary;no;yes;yes;unknown
44;blue-collar;married;primary;no;no;no;unknown
31;housemaid;married;primary;no;yes;no;unknown
42;services;single;secondary;no;yes;no;unknown
40;management;single;tertiary;no;yes;no;unknown
52;admin.;married;secondary;no;yes;no;unknown
45;blue-collar;divorced;secondary;no;yes;no;unknown
48;blue-collar;married;secondary;no;yes;no;unknown
45;blue-collar;married;primary;no;yes;no;unknown
34;blue-collar;married;unknown;no;yes;no;unknown
34;blue-collar;married;primary;no;yes;no;unknown
46;blue-collar;married;secondary;no;yes;no;unknown
49;services;divorced;secondary;no;yes;no;unknown
50;technician;married;primary;no;yes;no;unknown
34;admin.;single;secondary;no;yes;no;unknown
40;unemployed;single;secondary;no;yes;no;unknown
36;admin.;married;secondary;no;yes;no;unknown
59;blue-collar;divorced;unknown;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;no;unknown
36;self-employed;married;tertiary;no;yes;no;unknown
56;services;married;secondary;no;yes;no;unknown
42;services;divorced;secondary;no;yes;yes;unknown
30;admin.;married;secondary;no;yes;no;unknown
30;student;single;tertiary;no;yes;no;unknown
47;self-employed;married;unknown;no;yes;no;unknown
33;blue-collar;married;secondary;no;yes;no;unknown
36;admin.;married;secondary;no;yes;no;unknown
39;services;divorced;primary;no;yes;no;unknown
56;admin.;divorced;secondary;no;yes;no;unknown
39;blue-collar;divorced;unknown;no;yes;no;unknown
42;technician;married;secondary;no;yes;no;unknown
52;blue-collar;married;secondary;no;no;no;unknown
36;admin.;divorced;secondary;no;yes;no;unknown
35;entrepreneur;married;secondary;yes;yes;no;unknown
47;technician;married;secondary;no;yes;no;unknown
59;services;divorced;secondary;no;yes;yes;unknown
57;blue-collar;married;primary;no;yes;yes;unknown
38;management;married;unknown;no;yes;no;unknown
46;unemployed;married;secondary;no;yes;no;unknown
34;blue-collar;married;secondary;no;no;no;unknown
28;services;single;secondary;no;yes;no;unknown
38;technician;married;unknown;no;yes;no;unknown
56;blue-collar;married;secondary;no;yes;no;unknown
41;blue-collar;single;primary;yes;yes;yes;unknown
52;technician;married;unknown;no;no;no;unknown
54;services;married;secondary;no;no;no;unknown
61;retired;married;secondary;no;yes;yes;unknown
53;entrepreneur;married;secondary;no;no;no;unknown
47;technician;married;secondary;no;yes;no;unknown
53;blue-collar;married;primary;no;yes;no;unknown
46;services;married;secondary;no;yes;no;unknown
39;blue-collar;divorced;primary;no;yes;yes;unknown
56;technician;divorced;secondary;no;yes;no;unknown
55;services;divorced;primary;no;yes;no;unknown
44;management;married;tertiary;no;yes;no;unknown
37;technician;married;primary;no;yes;no;unknown
35;blue-collar;married;primary;no;yes;no;unknown
55;blue-collar;married;secondary;no;yes;no;unknown
37;services;married;secondary;no;yes;no;unknown
30;technician;single;secondary;no;yes;no;unknown
37;blue-collar;married;primary;no;yes;yes;unknown
36;technician;single;secondary;no;yes;no;unknown
38;technician;married;secondary;no;yes;no;unknown
41;admin.;divorced;primary;no;yes;no;unknown
48;retired;married;secondary;no;no;yes;unknown
55;services;divorced;secondary;no;yes;no;unknown
28;services;divorced;secondary;no;no;no;unknown
54;services;married;secondary;yes;yes;no;unknown
30;blue-collar;married;secondary;no;no;no;unknown
48;technician;married;tertiary;no;no;no;unknown
